ModuleCode,ModuleName,ModuleSkills,ModuleCredits,ModuleDescription,ModuleStatus,ModuleStartDate,ModuleJobs,Practical,ModuleCourses
ISE111,Programming in C,"Understand the syntax and semantics of the C programming language.
Be able to write, debug, and test C programs using a variety of tools.
Understand the concepts of data types, control structures, functions, pointers, and memory management.
Develop skills in problemsolving and algorithm design.",2,"This module provides an introduction to the C programming language and its features. Students will learn about data types, control structures, functions, pointers, and memory management. Handson exercises and projects will help students gain practical experience with C programming.",Mandetory,01/01/1900,"Software Developer
Embedded Systems Engineer
Systems Administrator
Database Administrator",YES,ISE
ISE112,Operating Systems Principles and Design,"Understand the principles and design of operating systems, including process management, memory management, file systems, and security.
Be able to analyze and evaluate the performance of operating systems.
Understand the limitations and challenges of operating systems and be able to critically evaluate the performance of operating systems.
Develop skills in programming and systems administration.",2,"This module provides an introduction to the principles and design of operating systems. Topics covered include process management, memory management, file systems, and security. The module also includes handson exercises and projects to help students gain practical experience with operating systems.",Mandetory,01/01/1900,"Operating Systems Developer
Systems Administrator
Computer Network Architect
Database Administrator",YES,ISE
ISE113,Logic Design & Switching Circuits,"Understand the basic concepts of logic design and switching circuits, including Boolean algebra, combinatorial circuits, sequential circuits, and state machines.
Be able to analyze and design logic circuits using a variety of tools and techniques.
Understand the limitations and challenges of logic design and switching circuits and be able to critically evaluate the performance of logic circuits.
Develop skills in circuit design and analysis.",2,"This module provides an introduction to the basic concepts of logic design and switching circuits. Topics covered include Boolean algebra, combinatorial circuits, sequential circuits, and state machines. The module also includes handson exercises and projects to help students gain practical experience with logic design and switching circuits.",Mandetory,01/01/1900,"Digital Design Engineer
Hardware Engineer
FPGA Engineer
ASIC Engineer",YES,ISE
ISE114,Mathematical Foundations of Computer Science,"Understand the mathematical foundations of computer science, including discrete mathematics, algorithms, and complexity theory.
Be able to analyze and evaluate algorithms and complexity of problems.
Understand the limitations and challenges of mathematical foundations of computer science and be able to critically evaluate the performance of algorithms.
Develop skills in mathematical modeling and problemsolving.",1,"This module provides an introduction to the mathematical foundations of computer science. Topics covered include discrete mathematics, algorithms, and complexity theory. The module also includes handson exercises and projects to help students gain practical experience with the mathematical foundations of computer science.",Mandetory,01/01/1900,"Data Scientist
Research Scientist
Machine Learning Engineer
Cryptographer",,ISE
ISE116,Introduction to Software Engineering,"Understand the different phases of the software development process
Understand different software development methodologies
Learn about tools and techniques that can be used to improve the software development process
Gain experience in applying software engineering concepts to a real-world project",1,"This module provides an introduction to software engineering. Students will learn about the different phases of the software development process, including requirements gathering, design, implementation, testing, and maintenance. They will also learn about different software development methodologies, such as waterfall and agile. Finally, they will learn about tools and techniques that can be used to improve the software development process.",Mandetory,01/01/1900,"Junior software engineer
Software development project manager
Software development process improvement consultant
Software development methodology researcher",,ISE
EEE113,Analogue Electronics,"Understand the basic principles of analogue electronics.
Be able to design and build simple analogue circuits.
Be able to troubleshoot and repair simple analogue circuits.
Be able to understand and use analogue electronic components.",1,This module will provide students with an introduction to analogue electronics. Students will learn about the basic principles of analogue circuits and how to design and build simple analogue circuits.,Mandetory,01/01/1900,"Analogue Electronics Engineer
Analogue Electronics Technician
Analogue Electronics Designer
Analogue Electronics Salesperson",,ISE
HIT110,Technopreneurship I  ,"Generate new business ideas and assess their feasibility
Develop a business plan for a technopreneurial venture
Understand the key marketing and financial considerations for technopreneurial businesses
Understand the legal and regulatory environment within which technopreneurial businesses operate.",1,"This module introduces students to the field of technopreneurship and its potential for creating new businesses and jobs. Students will learn about the process of starting and running a technopreneurial business, including ideation, business planning, marketing, and financial management. They will also gain an understanding of the legal and regulatory framework within which technopreneurs operate. Upon completion of the module, students will be able to: 1. Generate new business ideas and assess their feasibility 2. Develop a business plan for a technopreneurial venture 3. Understand the key marketing and financial considerations for technopreneurial businesses 4. Understand the legal and regulatory environment within which technopreneurial businesses operate. Possible jobs directly linked to the module include: 1. Business consultant 2. Business coach 3. Entrepreneur 4. Venture capitalist.",Mandetory,01/01/1900,"Business consultant
Business coach
Entrepreneur
Venture capitalist.",,ISE
IST110,Technical Communication Skills I,"Understand the principles of effective technical communication.
Develop clear and concise written communication skills.
Understand the importance of audience analysis and adaptation.
Develop effective oral communication skills.",1,This module provides students with the opportunity to develop their technical communication skills. Students will learn how to effectively communicate technical information to a variety of audiences.,Mandetory,01/01/1900,"Technical Writer
Technical Editor
Technical Communicator
Technical Support Specialist",,ISE
ISE 121,Object Oriented Programming,"Understand the basics of object-oriented programming
Be able to design programs using objects
Be familiar with the benefits and drawbacks of using objects
Understand how object-oriented programming is used in real-world applications.",2,"This module will introduce students to the concepts of object-oriented programming. They will learn how to design and implement programs using objects, and will become familiar with the benefits and drawbacks of using this approach.",Mandetory,01/01/1900,"Software Developer
Programmer
Software Engineer
Computer Scientist",Yes,ISE
ISE 122,Visual Programming Concepts and Development,"Understand the concepts of visual programming and how to apply them in the development of applications.     
Learn how to use different programming languages and tools to create visual programming applications.       
Be able to design and develop visual programming applications that meet the needs of users.
Understand the testing and debugging process for visual programming applications.",2,This module introduces students to the concepts and development of visual programming. Students will learn how to create visual programming applications using a variety of programming languages and tools.,Mandetory,01/01/1900,"Visual Programming Developer
Visual Programming Designer
Visual Programming Analyst
Visual Programming Consultant",Yes,ISE
